HighSchool,HSCount,Stay,Dropout,Dropout_Rate
"West Ridge High School",3,3,0,100.00
"Franklin County High School   ",1,1,0,100.00
"Seaway District High School",1,1,0,100.00
"Louisville High School        ",1,1,0,100.00
"Opp High School               ",1,1,0,100.00
"Hampshire High School         ",1,1,0,100.00
"Westview High School",1,1,0,100.00
"Wilson High School            ",1,1,0,100.00
"Vanguard Virtual High School",1,1,0,100.00
"Chesapeake Science Point PCS",1,1,0,100.00
"Carmel High School            ",1,1,0,100.00
"Cathedral Catholic High School",1,1,0,100.00
"Arbor View High School",1,1,0,100.00
"Greenbrier High School        ",1,1,0,100.00
"Lyman High School             ",1,1,0,100.00
"Downers Grove Comm H S South  ",1,1,0,100.00
"John S Battle High School     ",2,2,0,100.00
"Saint Cecilia Academy",1,1,0,100.00
"Sanford H Calhoun High School",1,1,0,100.00
"Rio Americano High School     ",1,1,0,100.00
"Free Will Baptist School",1,1,0,100.00
"Fulton High School",3,3,0,100.00
"Quabbin Regional Mid/high Sch",1,1,0,100.00
"Cardinal Gibbons Meml Hs      ",1,1,0,100.00
"Springfield High School       ",1,1,0,100.00
"Lake Minneola High School",1,1,0,100.00
"Career Magnet Academy",1,1,0,100.00
"Pembroke Pines Charter Hs",1,1,0,100.00
"Turlock High School",1,1,0,100.00
"Bay Haven Charter Academy",1,1,0,100.00
"Vinal Technical High School",1,1,0,100.00
"Woodland High School",1,1,0,100.00
"Solon High School",1,1,0,100.00
"La Grange High School         ",1,1,0,100.00
"Valdosta High School          ",2,2,0,100.00
"Colegio Inmaculada Concepcion",1,1,0,100.00
"Mill River Union High School",1,1,0,100.00
"Martha Layne Collins High Sch",1,1,0,100.00
"King George High School       ",1,1,0,100.00
"Newfield High School          ",2,2,0,100.00
"Briarcrest Christian School",1,1,0,100.00
"Pocahontas Area School",1,1,0,100.00
"Milton High School            ",1,1,0,100.00
"Putnam Co High School         ",1,1,0,100.00
"Rockvale High School          ",1,1,0,100.00
"Campion College",1,1,0,100.00
"Lowndes High School           ",1,1,0,100.00
"McEachern High School         ",1,1,0,100.00
"Baltimore City College",1,1,0,100.00
"J Serra High School",1,1,0,100.00
"Eagles Landing High School    ",1,1,0,100.00
"Tattnall Co High School       ",1,1,0,100.00
"Ledgemont High School",1,1,0,100.00
"Charlotte Catholic High School",1,1,0,100.00
"Southwestern Central Hs",1,1,0,100.00
"Ministry Of Education",2,2,0,100.00
"Kenwood High",1,1,0,100.00
"Bradford High School",1,1,0,100.00
"Whitehaven High School",1,1,0,100.00
"Madison Academy",1,1,0,100.00
"Homewood High School",1,1,0,100.00
"Dahlske Videregaende Skole",2,2,0,100.00
"Academia Americana",1,1,0,100.00
"Eastern High School           ",1,1,0,100.00
"Imperial School",1,1,0,100.00
"Princess Chulabhorn College",2,2,0,100.00
"Yakumo Academy Sr High Sch",1,1,0,100.00
"21st Secondary School Makkah",1,1,0,100.00
"Benton High School            ",1,1,0,100.00
"Clay Chalkville High School   ",1,1,0,100.00
"Rabun Gap-Nacoochee High Schoo",1,1,0,100.00
"Nativity Bvm High School",1,1,0,100.00
"Pierce County High School     ",1,1,0,100.00
"Johns Creek High School",1,1,0,100.00
"North Cobb High School        ",1,1,0,100.00
"Delhi Public School",1,1,0,100.00
"Ajyal Al Khafji Private Sec Sc",1,1,0,100.00
"British West Indies Collegiate",1,1,0,100.00
"St Mary's Kibuk GIrls Sec Sch",1,1,0,100.00
"Kapkoros Girls Secondary Sch",1,1,0,100.00
"Neil McNeil High School",1,1,0,100.00
"Gen Org for Tech Ed/Voc Trng",4,4,0,100.00
"Nadderud Videregaende Skole",1,1,0,100.00
"Pham Phu Thu High School",1,1,0,100.00
"Eaton High School",1,1,0,100.00
"Gymnasium Am Stefansberg",1,1,0,100.00
"Aldhaid Sec School for Boys",1,1,0,100.00
"Al-Tawien Boys' School",1,1,0,100.00
"College de Montreal",1,1,0,100.00
"Escola Secundaria Pedro Nunes",1,1,0,100.00
"Thetsaban 6 Udon Thani City HS",1,1,0,100.00
"Phan Boi Chau HS for Gifted",1,1,0,100.00
"Grace Academy",1,1,0,100.00
"Escuela Cristiana Bilingue Sun",1,1,0,100.00
"St Colman's College Newry",1,1,0,100.00
"Milestone College",1,1,0,100.00
"Aichi Prefectural Kariya N HS",1,1,0,100.00
"Stockholms Idrottsgymnasium",1,1,0,100.00
"Broadfording Christian Academy",1,1,0,100.00
"Great Panaf Schools",1,1,0,100.00
"Jumeira Baccalaureate School",1,1,0,100.00
"Gainesville High School       ",1,1,0,100.00
"High Achievers Coach Intl Acad",1,1,0,100.00
"Tapasya Integrated School",1,1,0,100.00
"Incheon Daegeon High School",1,1,0,100.00
"Cocoa High School             ",1,1,0,100.00
"Scoil Mhuire Trim",1,1,0,100.00
"Punjab School Education Board",1,1,0,100.00
"St Ursula Eichi High School",1,1,0,100.00
"Rene Descartes High School",1,1,0,100.00
"Teays Valley Christian School",1,1,0,100.00
