HighSchool,HSCount,Stay,Dropout,Dropout_Rate
"North Side High School",3,2,1,66.67
"Meigs County High School",17,16,1,94.12
"Northeast High School",13,12,1,92.31
"Merrol Hyde Magnet School",7,6,1,85.71
"Austin East Magnet High School",5,4,1,80.00
"East Ridge High School",1,0,1,0.00
"East Robertson High School",12,11,1,91.67
"Eagleville High School",10,9,1,90.00
"Martin Luther King High Magnet",35,34,1,97.14
"Forrest High School",11,10,1,90.91
"Greenbrier High School",9,8,1,88.89
"Central High School",28,27,1,96.43
"Giles County High School",5,4,1,80.00
"Westmoreland High School",5,4,1,80.00
"Hunters Lane High School",9,8,1,88.89
"Houston High School",8,7,1,87.50
"Lawrence County High School",3,2,1,66.67
"Knoxville Catholic High School",12,11,1,91.67
"Father Ryan High School",24,23,1,95.83
"North Lamar High School",1,0,1,0.00
"Stephen Decatur High School",2,1,1,50.00
"Donelson Christian Academy",11,10,1,90.91
"Munford High School",4,3,1,75.00
"Ensworth High School",3,2,1,66.67
"STEP Prep Academy High School",7,6,1,85.71
"Heritage High School",21,20,1,95.24
"Roane County High School",19,18,1,94.74
"Volunteer High School",8,7,1,87.50
"Republic High School",10,9,1,90.00
"Elizabethton High School",6,5,1,83.33
"Franklin Road Christian School",3,2,1,66.67
"Renaissance High School",2,1,1,50.00
"Sumner Co Middle College HS",2,1,1,50.00
"Arlington High School",9,8,1,88.89
"Carl Junction R-I High School ",1,0,1,0.00
"Tennessee School For The Blind",3,2,1,66.67
"Hoover High School            ",3,2,1,66.67
"Bartlett Yancey Senior High   ",1,0,1,0.00
0,2,1,1,50.00
"White House High School",27,26,1,96.30
"Santa Fe High School",2,1,1,50.00
"Red Boiling Springs Hs",18,17,1,94.44
"Northwest High School",4,3,1,75.00
"Adamsville High School",4,3,1,75.00
"Clark County R-1 High School",1,0,1,0.00
"Rockwood High School",6,5,1,83.33
"Brighton High School          ",1,0,1,0.00
"Sacred Heart Of Jesus Hs",2,1,1,50.00
"Grainger High School",7,6,1,85.71
"Christian Community High Sch",10,9,1,90.00
"Academy at Hickory Hollow",2,1,1,50.00
"Franklin Christian Academy",7,6,1,85.71
"Unaka High School",3,2,1,66.67
"Dos Pueblos High School       ",1,0,1,0.00
"Mountain Education Center Hs",1,0,1,0.00
"CAK Homeschool",3,2,1,66.67
"Kings Academy",3,2,1,66.67
"Claiborne High School",2,1,1,50.00
"Winder Barrow High School     ",2,1,1,50.00
"Saint Vincent Pallotti HS     ",1,0,1,0.00
"Greencastle High School       ",1,0,1,0.00
"McCreary Central High School  ",1,0,1,0.00
"Tr Robinson High School       ",1,0,1,0.00
"Bassfield High School",1,0,1,0.00
"South Broward High School     ",1,0,1,0.00
"Urbana High School",1,0,1,0.00
"Clayton Valley High School",1,0,1,0.00
"Heritage Academy",3,2,1,66.67
"Patriot High School",1,0,1,0.00
"Jellico High School",3,2,1,66.67
"Lookout Valley High School",2,1,1,50.00
"Rick Reedy High Schoo.",1,0,1,0.00
"Jackson Christian School",1,0,1,0.00
"F C Boyd Christian School",2,1,1,50.00
"Valley Academy",1,0,1,0.00
"James Madison High School",2,1,1,50.00
"Brainerd High School",1,0,1,0.00
"Culleoka High School",3,2,1,66.67
"Luverne High School           ",1,0,1,0.00
"Benjamin E Mays High School   ",1,0,1,0.00
"Cabool High School",1,0,1,0.00
"Timber Creek High School      ",1,0,1,0.00
"Rocky Point High School",1,0,1,0.00
"Tahquitz High School",1,0,1,0.00
"Vibgyor High School",1,0,1,0.00
"Jefferson City High School",1,0,1,0.00
"Cordova High School",2,1,1,50.00
"Pawhuska High School",1,0,1,0.00
"Dyersburg High School",3,2,1,66.67
"Dewey High School",1,0,1,0.00
"Pace High School              ",1,0,1,0.00
"William Amos Hough High School",1,0,1,0.00
"Madison Southern High School  ",1,0,1,0.00
"Chance Transitional School",1,0,1,0.00
"North Central High School     ",1,0,1,0.00
"Century High School",1,0,1,0.00
"Murrieta Mesa High School",1,0,1,0.00
"Bishop Union High School",1,0,1,0.00
"Morris Wilson Campus School",1,0,1,0.00
"Taylor'S College              ",1,0,1,0.00
"Newport Middle High School",1,0,1,0.00
"Kanyawanga High School",1,0,1,0.00
"Bilimkana-AUCA High School",1,0,1,0.00
